energy,count
-11.985713999992186,2
-11.985713999992072,2
-11.842856999992136,4
-11.842856999992025,4
-11.77142799999217,2
-11.771427999992056,2
-11.699999999992087,6
-11.699999999991974,6
-11.62857099999212,7
-11.628570999992007,6
-11.557142999992038,8
-11.557142999991925,8
-11.485713999992072,12
-11.485713999991958,10
-11.414285999992105,4
-11.41428599999199,4
-11.41428499999222,3
-11.414284999992104,5
-11.414284999991992,2
-11.342856999992025,17
-11.342856999991907,14
-11.271428999992054,6
-11.27142899999194,6
-11.27142799999217,6
-11.271427999992056,13
-11.271427999991944,6
-11.271427999991827,1
-11.1999999999922,3
-11.199999999992087,5
-11.199999999991974,2
-11.128571999992005,8
-11.128571999991893,8
-11.12857099999212,9
-11.128570999992007,21
-11.128570999991894,10
-11.12857099999178,2
-11.057142999992152,6
-11.057142999992038,16
-11.057142999991925,10
-11.057141999992156,3
-11.05714199999204,5
-11.057141999991927,3
-11.057141999991812,1
-10.914285999992105,9
-10.91428599999199,26
-10.914285999991876,16
-10.914285999991762,1
-10.914284999992104,6
-10.914284999991992,10
-10.914284999991878,6
-10.914284999991764,2
-10.84285699999225,2
-10.842856999992136,11
-10.842856999992025,17
-10.842856999991907,7
-10.842856999991795,1
-10.6999999999922,5
-10.699999999992087,23
-10.699999999991974,41
-10.69999999999186,24
-10.699999999991746,3
-10.628570999992236,2
-10.62857099999212,5
-10.628570999992007,7
-10.628570999991894,3
-10.62857099999178,1
-10.571428999991896,3
-10.57142899999178,1
-10.571428999991667,3
-10.571428999991554,5
-10.57142899999144,9
-10.571428999991326,6
-10.485714999992297,1
-10.485714999992185,3
-10.48571499999207,6
-10.485714999991956,6
-10.485714999991842,4
-10.485714999991728,1
-10.485713999992186,4
-10.485713999992072,19
-10.485713999991958,29
-10.485713999991845,12
-10.48571399999173,2
-10.428570999991734,4
-10.42857099999162,1
-10.428570999991509,3
-10.428570999991392,6
-10.42857099999128,12
-10.428570999991166,8
-10.357142999991993,2
-10.35714299999188,2
-10.357142999991538,8
-10.357142999991424,8
-10.285713999991684,5
-10.285713999991572,1
-10.285713999991458,3
-10.285713999991344,7
-10.28571399999123,15
-10.285713999991115,10
-10.271428999992397,1
-10.27142899999228,3
-10.271428999992168,5
-10.271428999992054,8
-10.27142899999194,6
-10.271428999991826,4
-10.271428999991713,1
-10.27142799999217,4
-10.271427999992056,10
-10.271427999991944,14
-10.271427999991827,6
-10.271427999991715,2
-10.214284999991833,3
-10.21428499999172,9
-10.214284999991603,2
-10.214284999991492,14
-10.214284999991378,12
-10.214284999991264,24
-10.21428499999115,16
-10.142857999991977,2
-10.14285799999186,1
-10.142856999991636,6
-10.142856999991524,18
-10.142856999991409,17
-10.142856999991295,8
-10.142856999991182,18
-10.142856999991068,12
-10.071427999991784,4
-10.07142799999167,11
-10.071427999991556,2
-10.071427999991442,16
-10.071427999991329,14
-10.071427999991217,30
-10.0714279999911,20
-10.05714299999238,1
-10.057142999992266,3
-10.057142999992152,5
-10.057142999992038,8
-10.057142999991925,6
-10.057142999991813,4
-10.057142999991695,1
-9.999999999991816,4
-9.9999999999917,2
-9.999999999991587,7
-9.999999999991472,1
-9.99999999999136,3
-9.999999999991246,9
-9.999999999991132,21
-9.99999999999102,14
-9.999998999991815,3
-9.999998999991703,3
-9.928571999991618,2
-9.928571999991505,10
-9.92857199999139,8
-9.928570999991734,5
-9.92857099999162,22
-9.928570999991509,23
-9.928570999991392,28
-9.92857099999128,18
-9.928570999991166,36
-9.928570999991052,24
-9.857142999991764,7
-9.857142999991652,14
-9.857142999991538,15
-9.857142999991424,33
